walkbck0168,2,0,0,86,29,18,17,75,45,34,38,69,81,44,46,0,1366,1,1,77,49,30,78,
walkbck0169,2,0,0,86,29,18,17,75,45,34,38,69,81,44,46,0,1366,1,1,77,49,30,78,
walkbck0170,2,0,0,86,29,18,17,75,45,34,38,69,81,44,46,0,1366,1,1,77,49,30,78,
walkbck0171,2,0,0,86,29,18,17,75,45,34,38,69,81,44,46,0,1366,1,1,77,49,30,78,
walkbck0172,2,0,0,86,29,18,17,75,45,34,38,69,81,44,46,0,1366,1,1,77,49,30,78,
walkbck0173,2,0,0,86,29,18,17,75,45,34,38,69,81,44,46,0,1366,1,1,77,49,30,78,
walkbck0174,2,0,0,86,29,18,17,75,45,34,38,69,81,44,46,0,1366,1,1,77,49,30,78,
walkbck0175,2,0,0,86,29,18,17,75,45,34,38,69,81,44,46,0,1366,1,1,77,49,30,78,
walkbck0176,2,0,0,86,29,18,17,75,45,34,38,69,81,44,46,0,1366,1,1,77,49,30,78,
walkbck0177,2,0,0,86,29,18,17,75,45,34,38,69,81,44,46,0,1366,1,1,77,49,30,78,
walkbck0178,2,0,0,86,29,18,17,75,45,34,38,69,81,44,46,0,1366,1,1,77,49,30,78,
walkbck0179,2,0,0,86,29,18,17,75,45,34,38,69,81,44,46,0,1366,1,1,77,49,30,78,
walkbck0180,2,0,0,86,29,18,17,75,45,34,38,69,81,44,46,0,1366,1,1,77,49,30,78,
walkbck0181,2,0,0,86,29,18,17,75,45,34,38,69,81,44,46,0,1366,1,1,77,49,30,78,
walkbck0182,2,0,0,86,29,18,17,75,45,34,38,69,81,44,46,0,1366,1,1,77,49,30,78,
walkbck0183,2,0,0,86,29,18,17,75,45,34,38,69,81,44,46,0,1366,1,1,77,49,30,78,
walkbck0184,2,0,0,86,29,18,17,75,45,34,38,69,81,44,46,0,1366,1,1,77,49,30,78,
walkbck0185,2,0,0,86,29,18,17,75,45,34,38,69,81,44,46,0,1366,1,1,77,49,30,78,
walkbck0186,2,0,0,86,29,18,17,75,45,34,38,69,81,44,46,0,1366,1,1,77,49,30,78,
~0
